Number,Title,AcceptanceRate,Difficulty,Frequency
358,Rearrange String k Distance Apart,37.2%,Hard,0.8286926725561692
359,Logger Rate Limiter,75.1%,Easy,0.9315582040049435
362,Design Hit Counter,67.6%,Medium,1.7294728390211869
366,Find Leaves of Binary Tree,78.9%,Medium,0.39042723074362384
377,Combination Sum IV,49.6%,Medium,0.13443026908953976
378,Kth Smallest Element in a Sorted Matrix,59.8%,Medium,0.3430272491675487
380,Insert Delete GetRandom O(1),51.5%,Medium,1.943627911472847
387,First Unique Character in a String,57.3%,Easy,0.223544272617909
394,Decode String,56.5%,Medium,1.725016317475119
395,Longest Substring with At Least K Repeating Characters,44.6%,Medium,0.21357410029805904
402,Remove K Digits,30.5%,Medium,0.4825218476031389
403,Frog Jump,43.0%,Hard,0.5168226432383649
412,Fizz Buzz,67.0%,Easy,0.04908961019652358
415,Add Strings,52.3%,Easy,0.9664128572503773
416,Partition Equal Subset Sum,46.5%,Medium,0.4385508326939298
419,Battleships in a Board,73.8%,Medium,0.6690496289808848
435,Non-overlapping Intervals,48.5%,Medium,0.08338160893905106
437,Path Sum III,50.1%,Medium,0.25562013999211797
438,Find All Anagrams in a String,48.4%,Medium,1.1165600502989466
442,Find All Duplicates in an Array,72.6%,Medium,0.2851014258582893
443,String Compression,47.7%,Medium,1.317759260297834
445,Add Two Numbers II,58.8%,Medium,0.6951531992868111
448,Find All Numbers Disappeared in an Array,59.2%,Easy,0.060994512702841945
449,Serialize and Deserialize BST,56.3%,Medium,0.24817962947553462
450,Delete Node in a BST,49.2%,Medium,0.3800978942297413
451,Sort Characters By Frequency,67.9%,Medium,0.875792939010168
460,LFU Cache,39.6%,Hard,2.1097739295290716
462,Minimum Moves to Equal Array Elements II,57.2%,Medium,0.6157605169445252
468,Validate IP Address,26.3%,Medium,0.9582549309731873
472,Concatenated Words,43.3%,Hard,0.5525652299387559
475,Heaters,35.5%,Medium,0.462623521948113
480,Sliding Window Median,41.1%,Hard,0.581921545449721
486,Predict the Winner,50.3%,Medium,0.2835752904991275
490,The Maze,54.8%,Medium,0.3308542443169896
493,Reverse Pairs,30.1%,Hard,0.10620049890755134
